,Position,Driver,Car,Time
3,1,Jacques Villeneuve,Williams Renault,1:36.071
5,2,Michael Schumacher,Ferrari,1:36.133
6,3,Eddie Irvine,Ferrari,1:36.466
9,4,Mika Hakkinen,McLaren Mercedes,1:36.469
8,5,Gerhard Berger,Benetton Renault,1:36.561
4,6,Heinz-Harald Frentzen,Williams Renault,1:36.628
7,7,Jean Alesi,Benetton Renault,1:36.682
16,8,Johnny Herbert,Sauber Petronas,1:36.906
12,9,Giancarlo Fisichella,Jordan Peugeot,1:36.917
14,10,Olivier Panis,Prost Mugen Honda,1:37.073
10,11,David Coulthard,McLaren Mercedes,1:37.095
22,12,Rubens Barrichello,Stewart Ford,1:37.343
11,13,Ralf Schumacher,Jordan Peugeot,1:37.443
23,14,Jan Magnussen,Stewart Ford,1:37.480
15,15,Shinji Nakano,Prost Mugen Honda,1:37.588
2,16,Pedro Diniz,Arrows Yamaha,1:37.853
1,17,Damon Hill,Arrows Yamaha,1:38.022
17,18,Gianni Morbidelli,Sauber Petronas,1:38.556
20,19,Ukyo Katayama,Minardi Hart,1:38.983
21,20,Tarso Marques,Minardi Hart,1:39.678
18,21,Jos Verstappen,Tyrrell Ford,1:40.259
19,22,Mika Salo,Tyrrell Ford,1:40.529
