,Position,Driver,Car,Time
5,1,Giancarlo Fisichella,Benetton Playlife,1:29.598
14,2,Jean Alesi,Sauber Petronas,1:30.317
8,3,Mika Hakkinen,McLaren Mercedes,1:30.517
3,4,Michael Schumacher,Ferrari,1:30.551
18,5,Rubens Barrichello,Stewart Ford,1:31.005
17,6,Mika Salo,Arrows,1:31.028
2,7,Heinz-Harald Frentzen,Williams Mecachrome,1:31.515
4,8,Eddie Irvine,Ferrari,1:31.651
10,9,Ralf Schumacher,Jordan Mugen Honda,1:31.917
11,10,Olivier Panis,Prost Peugeot,1:32.081
1,11,Jacques Villeneuve,Williams Mecachrome,1:32.083
19,12,Jos Verstappen,Stewart Ford,1:32.099
16,13,Pedro Diniz,Arrows,1:32.206
7,14,David Coulthard,McLaren Mercedes,1:32.399
9,15,Damon Hill,Jordan Mugen Honda,1:32.718
12,16,Jarno Trulli,Prost Peugeot,1:32.906
6,17,Alexander Wurz,Benetton Playlife,1:33.185
15,18,Johnny Herbert,Sauber Petronas,1:33.205
23,19,Esteban Tuero,Minardi Ford,1:33.399
21,20,Toranosuke Takagi,Tyrrell Ford,1:34.090
22,21,Shinji Nakano,Minardi Ford,1:34.536
20,22,Ricardo Rosset,Tyrrell Ford,1:34.910
