,Position,Driver,Car,Time
5,1,Michael Schumacher,Ferrari,1:14.548
4,2,Heinz-Harald Frentzen,Williams Renault,1:14.749
11,3,Ralf Schumacher,Jordan Peugeot,1:14.755
3,4,Jacques Villeneuve,Williams Renault,1:14.800
6,5,Eddie Irvine,Ferrari,1:14.860
14,6,Jarno Trulli,Prost Mugen Honda,1:14.957
8,7,Alexander Wurz,Benetton Renault,1:14.986
7,8,Jean Alesi,Benetton Renault,1:15.228
10,9,David Coulthard,McLaren Mercedes,1:15.270
9,10,Mika Hakkinen,McLaren Mercedes,1:15.339
12,11,Giancarlo Fisichella,Jordan Peugeot,1:15.453
15,12,Shinji Nakano,Prost Mugen Honda,1:15.857
22,13,Rubens Barrichello,Stewart Ford,1:15.876
16,14,Johnny Herbert,Sauber Petronas,1:16.018
23,15,Jan Magnussen,Stewart Ford,1:16.149
2,16,Pedro Diniz,Arrows Yamaha,1:16.536
1,17,Damon Hill,Arrows Yamaha,1:16.729
18,18,Jos Verstappen,Tyrrell Ford,1:16.941
19,19,Mika Salo,Tyrrell Ford,1:17.256
17,20,Norberto Fontana,Sauber Petronas,1:17.538
20,21,Ukyo Katayama,Minardi Hart,1:17.563
21,22,Tarso Marques,Minardi Hart,1:18.280
