,Position,Driver,Car,Time
5,1,Damon Hill,Williams Renault,1:15.505
6,2,David Coulthard,Williams Renault,1:15.628
1,3,Michael Schumacher,Benetton Renault,1:15.839
28,4,Gerhard Berger,Ferrari,1:15.932
27,5,Jean Alesi,Ferrari,1:16.305
30,6,Heinz-Harald Frentzen,Sauber Ford,1:16.647
14,7,Rubens Barrichello,Jordan Peugeot,1:16.725
2,8,Johnny Herbert,Benetton Renault,1:16.950
15,9,Eddie Irvine,Jordan Peugeot,1:17.116
7,10,Mark Blundell,McLaren Mercedes,1:17.348
25,11,Martin Brundle,Ligier Mugen Honda,1:17.624
26,12,Olivier Panis,Ligier Mugen Honda,1:18.033
9,13,Gianni Morbidelli,Footwork Hart,1:18.391
4,14,Mika Salo,Tyrrell Yamaha,1:18.604
24,15,Luca Badoer,Minardi Ford,1:18.810
3,16,Ukyo Katayama,Tyrrell Yamaha,1:18.828
23,17,Pedro Lamy,Minardi Ford,1:18.875
29,18,Karl Wendlinger,Sauber Ford,1:19.561
10,19,Taki Inoue,Footwork Hart,1:19.677
22,20,Roberto Moreno,Forti Ford,1:20.657
21,21,Pedro Diniz,Forti Ford,1:20.878
17,22,Andrea Montermini,Pacific Ilmor,1:21.659
16,23,Bertrand Gachot,Pacific Ilmor,1:21.998
