,Position,Driver,Car,Time
1,1,Michael Schumacher,Ferrari,1:27.173
2,2,Rubens Barrichello,Ferrari,1:27.418
3,3,Juan Pablo Montoya,Williams BMW,1:28.101
10,4,Heinz-Harald Frentzen,Sauber Petronas,1:28.274
20,5,Olivier Panis,Toyota,1:28.288
16,6,Jacques Villeneuve,BAR Honda,1:28.420
9,7,Nick Heidfeld,Sauber Petronas,1:28.464
17,8,Jenson Button,BAR Honda,1:28.682
4,9,Ralf Schumacher,Williams BMW,1:28.830
8,10,Fernando Alonso,Renault,1:28.928
5,11,David Coulthard,McLaren Mercedes,1:29.105
7,12,Jarno Trulli,Renault,1:29.136
11,13,Giancarlo Fisichella,Jordan Ford,1:29.344
14,14,Mark Webber,Jaguar Cosworth,1:29.367
6,15,Kimi Räikkönen,McLaren Mercedes,1:29.470
21,16,Cristiano da Matta,Toyota,1:29.538
12,17,Ralph Firman,Jordan Ford,1:31.242
15,18,Antonio Pizzonia,Jaguar Cosworth,1:31.723
19,19,Jos Verstappen,Minardi Cosworth,
18,20,Justin Wilson,Minardi Cosworth,
