,Position,Driver,Car,Time
2,1,David Coulthard,McLaren Mercedes,1:17.529
3,2,Michael Schumacher,Ferrari,1:17.667
1,3,Mika Hakkinen,McLaren Mercedes,1:17.785
4,4,Rubens Barrichello,Ferrari,1:18.227
9,5,Ralf Schumacher,Williams BMW,1:18.515
6,6,Jarno Trulli,Jordan Mugen Honda,1:18.612
11,7,Giancarlo Fisichella,Benetton Playlife,1:18.697
7,8,Eddie Irvine,Jaguar Cosworth,1:18.703
22,9,Jacques Villeneuve,BAR Honda,1:18.742
5,10,Heinz-Harald Frentzen,Jordan Mugen Honda,1:18.830
10,11,Jenson Button,Williams BMW,1:18.887
18,12,Pedro de la Rosa,Arrows Supertec,1:19.024
19,13,Jos Verstappen,Arrows Supertec,1:19.190
12,14,Alexander Wurz,Benetton Playlife,1:19.378
16,15,Pedro Diniz,Sauber Petronas,1:19.422
8,16,Johnny Herbert,Jaguar Cosworth,1:19.638
14,17,Jean Alesi,Prost Peugeot,1:19.651
23,18,Ricardo Zonta,BAR Honda,1:19.766
17,19,Mika Salo,Sauber Petronas,1:19.814
20,20,Marc Gene,Minardi Fondmetal,1:20.162
21,21,Gaston Mazzacane,Minardi Fondmetal,1:21.015
