,Position,Driver,Car,Time
3,1,Michael Schumacher,Ferrari,1:17.514
2,2,David Coulthard,McLaren Mercedes,1:17.886
1,3,Mika Hakkinen,McLaren Mercedes,1:17.922
9,4,Ralf Schumacher,Williams BMW,1:18.321
4,5,Rubens Barrichello,Ferrari,1:18.330
5,6,Heinz-Harald Frentzen,Jordan Mugen Honda,1:18.523
11,7,Giancarlo Fisichella,Benetton Playlife,1:18.607
10,8,Jenson Button,Williams BMW,1:18.699
17,9,Mika Salo,Sauber Petronas,1:18.748
7,10,Eddie Irvine,Jaguar Cosworth,1:19.008
12,11,Alexander Wurz,Benetton Playlife,1:19.259
6,12,Jarno Trulli,Jordan Mugen Honda,1:19.266
16,13,Pedro Diniz,Sauber Petronas,1:19.451
14,14,Jean Alesi,Prost Peugeot,1:19.626
18,15,Pedro de la Rosa,Arrows Supertec,1:19.897
22,16,Jacques Villeneuve,BAR Honda,1:19.937
8,17,Johnny Herbert,Jaguar Cosworth,1:19.956
23,18,Ricardo Zonta,BAR Honda,1:20.272
15,19,Nick Heidfeld,Prost Peugeot,1:20.481
19,20,Jos Verstappen,Arrows Supertec,1:20.609
20,21,Marc Gene,Minardi Fondmetal,1:20.654
21,22,Gaston Mazzacane,Minardi Fondmetal,1:20.905
