,Position,Driver,Car,Time
1,1,Mika Hakkinen,McLaren Mercedes,1:42.950
8,2,Heinz-Harald Frentzen,Jordan Mugen Honda,1:43.000
2,3,David Coulthard,McLaren Mercedes,1:43.288
3,4,Mika Salo,Ferrari,1:43.577
4,5,Eddie Irvine,Ferrari,1:43.769
16,6,Rubens Barrichello,Stewart Ford,1:43.938
18,7,Olivier Panis,Prost Peugeot,1:43.979
7,8,Damon Hill,Jordan Mugen Honda,1:44.001
19,9,Jarno Trulli,Prost Peugeot,1:44.209
9,10,Giancarlo Fisichella,Benetton Playlife,1:44.338
6,11,Ralf Schumacher,Williams Supertec,1:44.468
22,12,Jacques Villeneuve,BAR Supertec,1:44.508
10,13,Alexander Wurz,Benetton Playlife,1:44.522
5,14,Alessandro Zanardi,Williams Supertec,1:45.034
21,15,Marc Gene,Minardi Ford,1:45.331
12,16,Pedro Diniz,Sauber Petronas,1:45.335
17,17,Johnny Herbert,Stewart Ford,1:45.454
23,18,Ricardo Zonta,BAR Supertec,1:45.460
20,19,Luca Badoer,Minardi Ford,1:45.917
14,20,Pedro de la Rosa,Arrows,1:45.935
11,21,Jean Alesi,Sauber Petronas,1:45.962
15,22,Toranosuke Takagi,Arrows,1:46.209
