,Position,Driver,Car,Time
9,1,Jenson Button,BAR Honda,1:19.753
1,2,Michael Schumacher,Ferrari,1:20.011
3,3,Juan Pablo Montoya,Williams BMW,1:20.212
2,4,Rubens Barrichello,Ferrari,1:20.451
4,5,Ralf Schumacher,Williams BMW,1:20.538
8,6,Fernando Alonso,Renault,1:20.895
10,7,Takuma Sato,BAR Honda,1:20.913
14,8,Mark Webber,Jaguar Cosworth,1:20.921
7,9,Jarno Trulli,Renault,1:21.034
16,10,Cristiano da Matta,Toyota,1:21.087
5,11,David Coulthard,McLaren Mercedes,1:21.091
12,12,Felipe Massa,Sauber Petronas,1:21.532
17,13,Olivier Panis,Toyota,1:21.558
15,14,Christian Klien,Jaguar Cosworth,1:21.949
19,15,Giorgio Pantano,Jordan Ford,1:23.352
18,16,Nick Heidfeld,Jordan Ford,1:23.488
20,17,Gianmaria Bruni,Minardi Cosworth,1:26.899
11,18,Giancarlo Fisichella,Sauber Petronas,
21,19,Zsolt Baumgartner,Minardi Cosworth,1:46.299
6,20,Kimi Räikkönen,McLaren Mercedes,
