,Position,Driver,Car,Time,Laps
6,1,David Coulthard,Williams Renault,1:14.013,16
5,2,Damon Hill,Williams Renault,1:14.213,17
1,3,Michael Schumacher,Benetton Renault,1:14.284,24
27,4,Jean Alesi,Ferrari,1:14.919,15
28,5,Gerhard Berger,Ferrari,1:14.974,16
15,6,Eddie Irvine,Jordan Peugeot,1:15.354,24
2,7,Johnny Herbert,Benetton Renault,1:15.556,24
30,8,Heinz-Harald Frentzen,Sauber Ford,1:15.561,14
26,9,Olivier Panis,Ligier Mugen Honda,1:15.621,20
7,10,Mark Blundell,McLaren Mercedes,1:15.652,22
14,11,Rubens Barrichello,Jordan Peugeot,1:15.774,23
8,12,Jan Magnussen,McLaren Mercedes,1:16.339,19
25,13,Aguri Suzuki,Ligier Mugen Honda,1:16.519,20
23,14,Pedro Lamy,Minardi Ford,1:16.596,22
29,15,Jean-Christophe Boullion,Sauber Ford,1:16.646,12
24,16,Luca Badoer,Minardi Ford,1:16.887,24
3,17,Ukyo Katayama,Tyrrell Yamaha,1:17.014,24
4,18,Mika Salo,Tyrrell Yamaha,1:17.213,24
9,19,Gianni Morbidelli,Footwork Hart,1:18.114,24
10,20,Taki Inoue,Footwork Hart,1:18.212,24
21,21,Pedro Diniz,Forti Ford,1:19.579,22
22,22,Roberto Moreno,Forti Ford,1:19.745,23
17,23,Andrea Montermini,Pacific Ilmor,1:20.093,11
16,24,Bertrand Gachot,Pacific Ilmor,1:21.405,17
