,Position,Driver,Car,Time
1,1,Michael Schumacher,Ferrari,1:16.364
2,2,Rubens Barrichello,Ferrari,1:16.690
5,3,Ralf Schumacher,Williams BMW,1:17.277
6,4,Juan Pablo Montoya,Williams BMW,1:17.425
4,5,Kimi Räikkönen,McLaren Mercedes,1:17.519
15,6,Jenson Button,Renault,1:17.638
3,7,David Coulthard,McLaren Mercedes,1:17.662
7,8,Nick Heidfeld,Sauber Petronas,1:17.851
14,9,Jarno Trulli,Renault,1:17.929
20,10,Heinz-Harald Frentzen,Arrows Cosworth,1:18.121
8,11,Felipe Massa,Sauber Petronas,1:18.139
9,12,Giancarlo Fisichella,Jordan Honda,1:18.291
12,13,Olivier Panis,BAR Honda,1:18.472
21,14,Enrique Bernoldi,Arrows Cosworth,1:18.515
11,15,Jacques Villeneuve,BAR Honda,1:18.847
17,16,Pedro de la Rosa,Jaguar Cosworth,1:18.885
24,17,Mika Salo,Toyota,1:18.897
10,18,Takuma Sato,Jordan Honda,1:19.002
25,19,Allan McNish,Toyota,1:19.025
16,20,Eddie Irvine,Jaguar Cosworth,
