,Position,Driver,Car,Time
1,1,Michael Schumacher,Ferrari,1:22.327
4,2,Ralf Schumacher,Williams BMW,1:22.341
2,3,Rubens Barrichello,Ferrari,1:22.557
3,4,Juan Pablo Montoya,Williams BMW,1:22.789
14,5,Mark Webber,Jaguar Cosworth,1:23.015
6,6,Kimi Räikkönen,McLaren Mercedes,1:23.148
16,7,Jacques Villeneuve,BAR Honda,1:23.160
8,8,Fernando Alonso,Renault,1:23.169
17,9,Jenson Button,BAR Honda,1:23.381
20,10,Olivier Panis,Toyota,1:23.460
9,11,Nick Heidfeld,Sauber Petronas,1:23.700
5,12,David Coulthard,McLaren Mercedes,1:23.818
21,13,Cristiano da Matta,Toyota,1:23.838
10,14,Heinz-Harald Frentzen,Sauber Petronas,1:23.932
15,15,Antonio Pizzonia,Jaguar Cosworth,1:24.147
7,16,Jarno Trulli,Renault,1:24.190
11,17,Giancarlo Fisichella,Jordan Ford,1:24.317
18,18,Justin Wilson,Minardi Cosworth,1:25.826
12,19,Ralph Firman,Jordan Ford,1:26.357
