,Position,Driver,Car,Time
5,1,Damon Hill,Williams Renault,1:17.225
1,2,Michael Schumacher,Benetton Renault,1:17.512
6,3,David Coulthard,Williams Renault,1:17.925
27,4,Jean Alesi,Ferrari,1:18.761
14,5,Rubens Barrichello,Jordan Peugeot,1:18.810
26,6,Olivier Panis,Ligier Mugen Honda,1:19.047
28,7,Gerhard Berger,Ferrari,1:19.051
8,8,Mika Hakkinen,McLaren Mercedes,1:19.238
25,9,Martin Brundle,Ligier Mugen Honda,1:19.384
2,10,Johnny Herbert,Benetton Renault,1:19.555
15,11,Eddie Irvine,Jordan Peugeot,1:19.845
30,12,Heinz-Harald Frentzen,Sauber Ford,1:20.309
7,13,Mark Blundell,McLaren Mercedes,1:20.527
4,14,Mika Salo,Tyrrell Yamaha,1:20.796
29,15,Jean-Christophe Boullion,Sauber Ford,1:20.943
9,16,Gianni Morbidelli,Footwork Hart,1:21.076
24,17,Luca Badoer,Minardi Ford,1:21.323
10,18,Taki Inoue,Footwork Hart,1:21.894
3,19,Ukyo Katayama,Tyrrell Yamaha,1:21.930
23,20,Pierluigi Martini,Minardi Ford,1:22.104
17,21,Andrea Montermini,Pacific Ilmor,1:23.466
16,22,Bertrand Gachot,Pacific Ilmor,1:23.647
21,23,Pedro Diniz,Forti Ford,1:24.184
22,24,Roberto Moreno,Forti Ford,1:24.865
