,Position,Driver,Car,Time
3,1,Michael Schumacher,Ferrari,1:36.293
8,2,Mika Hakkinen,McLaren Mercedes,1:36.471
7,3,David Coulthard,McLaren Mercedes,1:37.496
4,4,Eddie Irvine,Ferrari,1:38.197
2,5,Heinz-Harald Frentzen,Williams Mecachrome,1:38.272
1,6,Jacques Villeneuve,Williams Mecachrome,1:38.448
10,7,Ralf Schumacher,Jordan Mugen Honda,1:38.461
9,8,Damon Hill,Jordan Mugen Honda,1:38.603
6,9,Alexander Wurz,Benetton Playlife,1:38.959
5,10,Giancarlo Fisichella,Benetton Playlife,1:39.080
15,11,Johnny Herbert,Sauber Petronas,1:39.234
14,12,Jean Alesi,Sauber Petronas,1:39.448
11,13,Olivier Panis,Prost Peugeot,1:40.037
12,14,Jarno Trulli,Prost Peugeot,1:40.111
17,15,Mika Salo,Arrows,1:40.387
18,16,Rubens Barrichello,Stewart Ford,1:40.502
21,17,Toranosuke Takagi,Tyrrell Ford,1:40.619
16,18,Pedro Diniz,Arrows,1:40.687
19,19,Jos Verstappen,Stewart Ford,1:40.943
22,20,Shinji Nakano,Minardi Ford,1:41.315
23,21,Esteban Tuero,Minardi Ford,1:42.358
