,Position,Driver,Car,Time
1,1,Mika Hakkinen,McLaren Mercedes,1:24.804
3,2,Michael Schumacher,Ferrari,1:25.223
2,3,David Coulthard,McLaren Mercedes,1:25.594
4,4,Eddie Irvine,Ferrari,1:25.677
8,5,Heinz-Harald Frentzen,Jordan Mugen Honda,1:25.991
7,6,Damon Hill,Jordan Mugen Honda,1:26.099
16,7,Rubens Barrichello,Stewart Ford,1:26.194
6,8,Ralf Schumacher,Williams Supertec,1:26.438
22,9,Jacques Villeneuve,BAR Supertec,1:26.719
11,10,Jean Alesi,Sauber Petronas,1:26.761
17,11,Johnny Herbert,Stewart Ford,1:26.873
12,12,Pedro Diniz,Sauber Petronas,1:27.196
5,13,Alessandro Zanardi,Williams Supertec,1:27.223
19,14,Jarno Trulli,Prost Peugeot,1:27.227
18,15,Olivier Panis,Prost Peugeot,1:27.543
23,16,Ricardo Zonta,BAR Supertec,1:27.699
9,17,Giancarlo Fisichella,Benetton Playlife,1:27.857
10,18,Alexander Wurz,Benetton Playlife,1:28.010
15,19,Toranosuke Takagi,Arrows,1:28.037
14,20,Pedro de la Rosa,Arrows,1:28.148
20,21,Luca Badoer,Minardi Ford,1:28.695
21,22,Marc Gene,Minardi Ford,1:28.772
