,Position,Driver,Car,Time
6,1,David Coulthard,Williams Renault,1:24.462
1,2,Michael Schumacher,Benetton Renault,1:25.026
28,3,Gerhard Berger,Ferrari,1:25.353
5,4,Damon Hill,Williams Renault,1:25.699
27,5,Jean Alesi,Ferrari,1:25.707
14,6,Rubens Barrichello,Jordan Peugeot,1:25.919
8,7,Mika Hakkinen,McLaren Mercedes,1:25.920
2,8,Johnny Herbert,Benetton Renault,1:26.433
7,9,Mark Blundell,McLaren Mercedes,1:26.472
30,10,Heinz-Harald Frentzen,Sauber Ford,1:26.541
25,11,Martin Brundle,Ligier Mugen Honda,1:27.067
15,12,Eddie Irvine,Jordan Peugeot,1:27.271
26,13,Olivier Panis,Ligier Mugen Honda,1:27.384
29,14,Jean-Christophe Boullion,Sauber Ford,1:28.741
9,15,Massimiliano Papis,Footwork Hart,1:28.870
4,16,Mika Salo,Tyrrell Yamaha,1:29.028
3,17,Ukyo Katayama,Tyrrell Yamaha,1:29.287
24,18,Luca Badoer,Minardi Ford,1:29.559
23,19,Pedro Lamy,Minardi Ford,1:29.936
10,20,Taki Inoue,Footwork Hart,1:30.515
17,21,Andrea Montermini,Pacific Ilmor,1:30.721
22,22,Roberto Moreno,Forti Ford,1:30.834
21,23,Pedro Diniz,Forti Ford,1:32.102
16,24,Giovanni Lavaggi,Pacific Ilmor,1:32.470
