,Position,Driver,Car,Time
1,1,Michael Schumacher,Ferrari,1:26.892
2,2,Rubens Barrichello,Ferrari,1:27.263
3,3,Mika Hakkinen,McLaren Mercedes,1:27.461
11,4,Heinz-Harald Frentzen,Jordan Honda,1:27.658
5,5,Ralf Schumacher,Williams BMW,1:27.719
4,6,David Coulthard,McLaren Mercedes,1:28.010
12,7,Jarno Trulli,Jordan Honda,1:28.377
10,8,Jacques Villeneuve,BAR Honda,1:28.435
9,9,Olivier Panis,BAR Honda,1:28.518
16,10,Nick Heidfeld,Sauber Petronas,1:28.615
6,11,Juan Pablo Montoya,Williams BMW,1:28.738
18,12,Eddie Irvine,Jaguar Cosworth,1:28.965
17,13,Kimi Räikkönen,Sauber Petronas,1:28.993
22,14,Jean Alesi,Prost Acer,1:29.893
14,15,Jos Verstappen,Arrows Asiatech,1:29.934
8,16,Jenson Button,Benetton Renault,1:30.035
7,17,Giancarlo Fisichella,Benetton Renault,1:30.209
15,18,Enrique Bernoldi,Arrows Asiatech,1:30.520
21,19,Fernando Alonso,Minardi European,1:30.657
23,20,Gaston Mazzacane,Prost Acer,1:30.798
19,21,Luciano Burti,Jaguar Cosworth,1:30.978
20,22,Tarso Marques,Minardi European,1:33.228
