,Position,Driver,Car,Time
6,1,David Coulthard,Williams Renault,1:18.738
5,2,Damon Hill,Williams Renault,1:18.972
1,3,Michael Schumacher,Benetton Renault,1:19.150
28,4,Gerhard Berger,Ferrari,1:19.821
15,5,Eddie Irvine,Jordan Peugeot,1:20.488
27,6,Jean Alesi,Ferrari,1:20.510
2,7,Johnny Herbert,Benetton Renault,1:20.653
30,8,Heinz-Harald Frentzen,Sauber Ford,1:20.749
8,9,Mika Hakkinen,McLaren Mercedes,1:20.866
7,10,Mark Blundell,McLaren Mercedes,1:20.909
14,11,Rubens Barrichello,Jordan Peugeot,1:21.211
25,12,Martin Brundle,Ligier Mugen Honda,1:21.541
29,13,Jean-Christophe Boullion,Sauber Ford,1:22.059
26,14,Olivier Panis,Ligier Mugen Honda,1:22.062
4,15,Mika Salo,Tyrrell Yamaha,1:23.058
23,16,Pedro Lamy,Minardi Ford,1:23.328
9,17,Massimiliano Papis,Footwork Hart,1:23.689
24,18,Luca Badoer,Minardi Ford,1:23.760
3,19,Gabriele Tarquini,Tyrrell Yamaha,1:24.286
17,20,Andrea Montermini,Pacific Ilmor,1:24.696
10,21,Taki Inoue,Footwork Hart,1:24.900
21,22,Pedro Diniz,Forti Ford,1:25.157
22,23,Roberto Moreno,Forti Ford,1:26.098
16,24,Jean-Denis Deletraz,Pacific Ilmor,1:27.853
