,Position,Driver,Car,Time
5,1,Damon Hill,Williams Renault,1:28.124
1,2,Michael Schumacher,Benetton Renault,1:28.397
6,3,David Coulthard,Williams Renault,1:28.947
28,4,Gerhard Berger,Ferrari,1:29.657
2,5,Johnny Herbert,Benetton Renault,1:29.867
27,6,Jean Alesi,Ferrari,1:29.874
15,7,Eddie Irvine,Jordan Peugeot,1:30.083
8,8,Mika Hakkinen,McLaren Mercedes,1:30.140
14,9,Rubens Barrichello,Jordan Peugeot,1:30.354
7,10,Mark Blundell,McLaren Mercedes,1:30.453
25,11,Martin Brundle,Ligier Mugen Honda,1:30.946
30,12,Heinz-Harald Frentzen,Sauber Ford,1:31.602
26,13,Olivier Panis,Ligier Mugen Honda,1:31.842
3,14,Ukyo Katayama,Tyrrell Yamaha,1:32.087
23,15,Pierluigi Martini,Minardi Ford,1:32.259
29,16,Jean-Christophe Boullion,Sauber Ford,1:33.166
9,17,Massimiliano Papis,Footwork Hart,1:34.154
24,18,Luca Badoer,Minardi Ford,1:34.556
10,19,Taki Inoue,Footwork Hart,1:35.323
21,20,Pedro Diniz,Forti Ford,1:36.023
16,21,Bertrand Gachot,Pacific Ilmor,1:36.076
22,22,Roberto Moreno,Forti Ford,1:36.651
4,23,Mika Salo,Tyrrell Yamaha,1:48.639
17,24,Andrea Montermini,Pacific Ilmor,1:52.398
