,Position,Driver,Car,Time
8,1,Nick Heidfeld,Williams BMW,1:30.081
9,2,Kimi Räikkönen,McLaren Mercedes,1:30.197
7,3,Mark Webber,Williams BMW,1:30.368
16,4,Jarno Trulli,Toyota,1:30.700
10,5,Juan Pablo Montoya,McLaren Mercedes,1:30.890
5,6,Fernando Alonso,Renault,1:31.056
2,7,Rubens Barrichello,Ferrari,1:31.249
17,8,Ralf Schumacher,Toyota,1:31.392
6,9,Giancarlo Fisichella,Renault,1:31.566
1,10,Michael Schumacher,Ferrari,1:31.585
12,11,Felipe Massa,Sauber Petronas,1:32.205
14,12,David Coulthard,RBR Cosworth,1:32.553
3,13,Jenson Button,BAR Honda,1:32.594
15,14,Vitantonio Liuzzi,RBR Cosworth,1:32.642
11,15,Jacques Villeneuve,Sauber Petronas,1:32.891
4,16,Takuma Sato,BAR Honda,1:32.926
18,17,Tiago Monteiro,Jordan Toyota,1:35.047
20,18,Patrick Friesacher ,Minardi Cosworth,1:35.954
19,19,Narain Karthikeyan,Jordan Toyota,1:36.192
21,20,Christijan Albers,Minardi Cosworth,1:36.239
