,Position,Driver,Car,Time
5,1,Damon Hill,Williams Renault,1:20.330
6,2,Jacques Villeneuve,Williams Renault,1:20.339
3,3,Jean Alesi,Benetton Renault,1:21.088
1,4,Michael Schumacher,Ferrari,1:21.236
4,5,Gerhard Berger,Benetton Renault,1:21.293
2,6,Eddie Irvine,Ferrari,1:21.362
7,7,Mika Hakkinen,McLaren Mercedes,1:21.640
8,8,David Coulthard,McLaren Mercedes,1:22.066
11,9,Rubens Barrichello,Jordan Peugeot,1:22.205
12,10,Martin Brundle,Jordan Peugeot,1:22.324
15,11,Heinz-Harald Frentzen,Sauber Ford,1:22.325
14,12,Johnny Herbert,Sauber Ford,1:22.655
19,13,Mika Salo,Tyrrell Yamaha,1:22.765
18,14,Ukyo Katayama,Tyrrell Yamaha,1:23.013
9,15,Olivier Panis,Ligier Mugen Honda,1:23.055
17,16,Jos Verstappen,Footwork Hart,1:23.531
16,17,Ricardo Rosset,Footwork Hart,1:24.230
10,18,Pedro Diniz,Ligier Mugen Honda,1:24.293
20,19,Pedro Lamy,Minardi Ford,1:24.510
21,20,Giovanni Lavaggi,Minardi Ford,1:25.612
