,Position,Driver,Car,Time
5,1,Michael Schumacher,Benetton Ford,1:21.908
0,2,Damon Hill,Williams Renault,1:22.559
7,3,Mika Hakkinen,McLaren Peugeot,1:22.660
6,4,Jyrki Jarvilehto,Benetton Ford,1:22.983
14,5,Rubens Barrichello,Jordan Hart,1:23.594
27,6,Jean Alesi,Ferrari,1:23.700
28,7,Gerhard Berger,Ferrari,1:23.715
8,8,Martin Brundle,McLaren Peugeot,1:23.763
2,9,David Coulthard,Williams Renault,1:23.782
3,10,Ukyo Katayama,Tyrrell Yamaha,1:23.969
4,11,Mark Blundell,Tyrrell Yamaha,1:23.981
30,12,Heinz-Harald Frentzen,Sauber Mercedes,1:24.254
15,13,Eddie Irvine,Jordan Hart,1:24.930
24,14,Michele Alboreto,Minardi Ford,1:24.996
10,15,Gianni Morbidelli,Footwork Ford,1:25.018
20,16,Erik Comas,Larrousse Ford,1:25.050
19,17,Olivier Beretta,Larrousse Ford,1:25.161
23,18,Pierluigi Martini,Minardi Ford,1:25.247
26,19,Olivier Panis,Ligier Renault,1:25.577
25,20,Eric Bernard,Ligier Renault,1:25.766
9,21,Christian Fittipaldi,Footwork Ford,1:26.084
12,22,Johnny Herbert,Lotus Mugen Honda,1:26.397
11,23,Alessandro Zanardi,Lotus Mugen Honda,1:27.685
31,24,David Brabham,Simtek Ford,1:28.151
34,25,Bertrand Gachot,Pacific Ilmor,1:28.873
33,26,Paul Belmondo,Pacific Ilmor,1:30.657
