,Position,Driver,Car,Time,Laps
3,1,Jacques Villeneuve,Williams Renault,1:16.525,12
4,2,Heinz-Harald Frentzen,Williams Renault,1:16.791,11
10,3,David Coulthard,McLaren Mercedes,1:17.521,12
7,4,Jean Alesi,Benetton Renault,1:17.717,11
9,5,Mika Hakkinen,McLaren Mercedes,1:17.737,11
8,6,Gerhard Berger,Benetton Renault,1:18.041,11
5,7,Michael Schumacher,Ferrari,1:18.313,11
12,8,Giancarlo Fisichella,Jordan Peugeot,1:18.385,10
11,9,Ralf Schumacher,Jordan Peugeot,1:18.423,11
16,10,Johnny Herbert,Sauber Petronas,1:18.494,12
6,11,Eddie Irvine,Ferrari,1:18.873,12
14,12,Olivier Panis,Prost Mugen Honda,1:19.157,12
17,13,Gianni Morbidelli,Sauber Petronas,1:19.323,12
19,14,Mika Salo,Tyrrell Ford,1:20.079,10
1,15,Damon Hill,Arrows Yamaha,1:20.089,11
15,16,Shinji Nakano,Prost Mugen Honda,1:20.103,12
22,17,Rubens Barrichello,Stewart Ford,1:20.255,12
21,18,Jarno Trulli,Minardi Hart,1:20.452,11
18,19,Jos Verstappen,Tyrrell Ford,1:20.582,12
20,20,Ukyo Katayama,Minardi Hart,1:20.672,12
2,21,Pedro Diniz,Arrows Yamaha,1:21.029,12
23,22,Jan Magnussen,Stewart Ford,1:21.060,12
