,Position,Driver,Car,Time
5,1,Michael Schumacher,Benetton Ford,1:18.258
0,2,Damon Hill,Williams Renault,1:18.824
2,3,David Coulthard,Williams Renault,1:20.205
28,4,Gerhard Berger,Ferrari,1:20.219
3,5,Ukyo Katayama,Tyrrell Yamaha,1:20.232
8,6,Martin Brundle,McLaren Peugeot,1:20.629
15,7,Eddie Irvine,Jordan Hart,1:20.698
30,8,Heinz-Harald Frentzen,Sauber Mercedes,1:20.858
26,9,Olivier Panis,Ligier Renault,1:20.929
14,10,Rubens Barrichello,Jordan Hart,1:20.952
4,11,Mark Blundell,Tyrrell Yamaha,1:20.984
6,12,Jos Verstappen,Benetton Ford,1:21.141
27,13,Jean Alesi,Ferrari,1:21.206
7,14,Philippe Alliot,McLaren Peugeot,1:21.498
23,15,Pierluigi Martini,Minardi Ford,1:21.837
9,16,Christian Fittipaldi,Footwork Ford,1:21.873
29,17,Andrea de Cesaris,Sauber Mercedes,1:21.946
25,18,Eric Bernard,Ligier Renault,1:22.038
10,19,Gianni Morbidelli,Footwork Ford,1:22.311
24,20,Michele Alboreto,Minardi Ford,1:22.379
20,21,Erik Comas,Larrousse Ford,1:22.487
11,22,Alessandro Zanardi,Lotus Mugen Honda,1:22.513
31,23,David Brabham,Simtek Ford,1:22.614
12,24,Johnny Herbert,Lotus Mugen Honda,1:22.705
19,25,Olivier Beretta,Larrousse Ford,1:22.899
32,26,Jean-Marc Gounon,Simtek Ford,1:24.191
