,Position,Driver,Car,Time
3,1,Michael Schumacher,Ferrari,1:18.561
4,2,Eddie Irvine,Ferrari,1:18.907
8,3,Mika Hakkinen,McLaren Mercedes,1:18.940
5,4,Giancarlo Fisichella,Benetton Playlife,1:19.048
7,5,David Coulthard,McLaren Mercedes,1:19.169
10,6,Ralf Schumacher,Jordan Mugen Honda,1:19.455
2,7,Heinz-Harald Frentzen,Williams Mecachrome,1:19.522
6,8,Alexander Wurz,Benetton Playlife,1:19.569
1,9,Jacques Villeneuve,Williams Mecachrome,1:19.631
9,10,Damon Hill,Jordan Mugen Honda,1:19.807
14,11,Jean Alesi,Sauber Petronas,1:20.493
18,12,Rubens Barrichello,Stewart Ford,1:20.530
15,13,Johnny Herbert,Sauber Petronas,1:20.650
12,14,Jarno Trulli,Prost Peugeot,1:20.709
11,15,Olivier Panis,Prost Peugeot,1:21.048
17,16,Mika Salo,Arrows,1:21.120
16,17,Pedro Diniz,Arrows,1:21.258
19,18,Jos Verstappen,Stewart Ford,1:21.501
21,19,Toranosuke Takagi,Tyrrell Ford,1:21.525
22,20,Shinji Nakano,Minardi Ford,1:22.078
23,21,Esteban Tuero,Minardi Ford,1:22.146
20,22,Ricardo Rosset,Tyrrell Ford,1:22.822
