,Position,Driver,Car,Time
6,1,Juan Pablo Montoya,Williams BMW,1:18.998
2,2,Rubens Barrichello,Ferrari,1:19.032
1,3,Michael Schumacher,Ferrari,1:19.042
5,4,Ralf Schumacher,Williams BMW,1:19.329
4,5,Kimi Räikkönen,McLaren Mercedes,1:20.133
3,6,David Coulthard,McLaren Mercedes,1:20.315
14,7,Jarno Trulli,Renault,1:20.516
24,8,Mika Salo,Toyota,1:20.995
11,9,Jacques Villeneuve,BAR Honda,1:21.130
7,10,Nick Heidfeld,Sauber Petronas,1:21.187
8,11,Felipe Massa,Sauber Petronas,1:21.191
15,12,Jenson Button,Renault,1:21.247
12,13,Olivier Panis,BAR Honda,1:21.274
10,14,Takuma Sato,Jordan Honda,1:21.337
25,15,Allan McNish,Toyota,1:21.382
20,16,Heinz-Harald Frentzen,Arrows Cosworth,1:21.416
9,17,Giancarlo Fisichella,Jordan Honda,1:21.636
21,18,Enrique Bernoldi,Arrows Cosworth,1:21.780
16,19,Eddie Irvine,Jaguar Cosworth,1:21.851
23,20,Mark Webber,Minardi Asiatech,1:22.281
17,21,Pedro de la Rosa,Jaguar Cosworth,1:23.422
